time,open,high,low,close,tick_volume,spread,real_volume
1737710400,1.04522,1.04538,1.04512,1.04527,54,4,0
1737710460,1.04527,1.04538,1.04516,1.04531,54,4,0
1737710520,1.04529,1.04547,1.04522,1.04541,54,4,0
1737710580,1.04542,1.04556,1.0453,1.04556,40,5,0
1737710640,1.04554,1.04555,1.04545,1.04551,30,5,0
1737710700,1.04552,1.04562,1.04547,1.04562,36,5,0
1737710760,1.04562,1.04575,1.04542,1.04544,53,4,0
1737710820,1.04542,1.04542,1.04524,1.04524,33,4,0
1737710880,1.04523,1.04536,1.04522,1.04532,38,4,0
1737710940,1.04533,1.0454,1.04532,1.04532,39,4,0
1737711000,1.04531,1.04537,1.04511,1.04519,55,4,0
1737711060,1.04518,1.04546,1.04518,1.04532,40,4,0
1737711120,1.04531,1.04531,1.04517,1.04522,32,4,0
1737711180,1.04522,1.04548,1.04522,1.04542,46,4,0
1737711240,1.04538,1.04538,1.04511,1.04512,30,4,0
1737711300,1.04511,1.04515,1.04499,1.04501,35,4,0
1737711360,1.04499,1.04505,1.04486,1.04505,41,4,0
1737711420,1.04504,1.04504,1.04487,1.04496,32,4,0
1737711480,1.04493,1.04493,1.04475,1.04489,35,4,0
1737711540,1.04497,1.04505,1.04489,1.04505,38,4,0
1737711600,1.04505,1.04512,1.04499,1.04512,32,4,0
1737711660,1.04513,1.04522,1.04502,1.0451,38,4,0
1737711720,1.04511,1.04543,1.04511,1.0454,42,4,0
1737711780,1.04537,1.04538,1.04521,1.04533,40,4,0
1737711840,1.04532,1.04547,1.04526,1.04529,41,4,0
1737711900,1.04528,1.04564,1.04526,1.04564,46,4,0
1737711960,1.04562,1.04587,1.04552,1.04577,48,4,0
1737712020,1.04577,1.04577,1.0455,1.04562,45,4,0
1737712080,1.04558,1.04577,1.04558,1.04574,40,4,0
1737712140,1.04574,1.04589,1.04568,1.04582,41,4,0
1737712200,1.04581,1.046,1.04579,1.04599,45,4,0
1737712260,1.04597,1.04597,1.04581,1.04596,29,4,0
1737712320,1.0459,1.04591,1.04572,1.04577,38,4,0
1737712380,1.04577,1.04587,1.04574,1.04583,32,4,0
1737712440,1.04584,1.04618,1.04583,1.04609,53,4,0
1737712500,1.0461,1.04617,1.04606,1.04614,49,4,0
1737712560,1.04615,1.04648,1.04615,1.04625,61,4,0
1737712620,1.04625,1.04628,1.04607,1.04612,50,4,0
1737712680,1.04615,1.04617,1.04602,1.04607,52,4,0
1737712740,1.04603,1.04611,1.04593,1.0461,45,4,0
1737712800,1.04607,1.04615,1.04592,1.04606,57,4,0
1737712860,1.04606,1.04608,1.04578,1.04591,59,4,0
1737712920,1.04592,1.04615,1.04592,1.04615,53,4,0
1737712980,1.04615,1.04629,1.0461,1.04628,52,4,0
1737713040,1.04632,1.04647,1.04626,1.04647,59,4,0
1737713100,1.04644,1.04654,1.0463,1.04654,45,4,0
1737713160,1.04657,1.04684,1.04657,1.04664,50,4,0
1737713220,1.04665,1.04693,1.04659,1.04693,51,4,0
1737713280,1.04693,1.04702,1.04683,1.04695,45,3,0
1737713340,1.04695,1.04702,1.04692,1.04699,32,4,0
1737713400,1.04698,1.0473,1.04696,1.04721,53,4,0
1737713460,1.04721,1.04737,1.04708,1.04732,49,4,0
1737713520,1.04737,1.0479,1.04737,1.04778,55,4,0
1737713580,1.0478,1.04837,1.04775,1.0479,66,4,0
1737713640,1.04789,1.04798,1.04744,1.04744,82,4,0
1737713700,1.04839,1.04882,1.04793,1.04811,93,4,0
1737713760,1.0481,1.0482,1.04778,1.04805,47,4,0
1737713820,1.04805,1.04807,1.04781,1.04787,80,5,0
1737713880,1.04787,1.04789,1.04764,1.04777,71,4,0
1737713940,1.04776,1.04787,1.0476,1.04765,65,4,0
1737714000,1.04767,1.04788,1.04761,1.04761,49,5,0
1737714060,1.04761,1.04765,1.04744,1.04745,50,4,0
1737714120,1.04748,1.04768,1.04733,1.04745,55,4,0
